transactionid,date,region,productid,unitssold,revenue,profitmargin,customersegmentid
1001.0,1/1/2023,Midwest,1,100,2000,34,C1
1002.0,1/1/2023,South,3,120,2400,29,C5
1003.0,2/1/2023,Midwest,2,50,1250,24,C3
1004.0,2/1/2023,South,1,180,3600,34,C1
1005.0,3/1/2023,Northeast,4,90,1350,37,C4
1006.0,3/1/2023,Midwest,3,80,1600,27,C5
1007.0,4/1/2023,South,1,220,4400,35,C1
1008.0,4/1/2023,Northeast,2,60,1500,26,C3
1009.0,5/1/2023,Midwest,4,130,1950,41,C2
1010.0,5/1/2023,South,3,160,3200,31,C5
1011.0,6/1/2023,Northeast,1,270,5400,36,C4
1012.0,6/1/2023,Midwest,3,180,3600,28,C5
1013.0,7/1/2023,South,4,220,3300,39,C1
1014.0,7/1/2023,Northeast,1,320,6400,37,C4
1015.0,8/1/2023,Midwest,2,100,2500,25,C3
1016.0,8/1/2023,South,3,200,4000,30,C5
1017.0,9/1/2023,Northeast,4,160,2400,38,C2
1018.0,9/1/2023,Midwest,1,180,3600,34,C1
1019.0,10/1/2023,South,1,250,5000,35,C1
1020.0,10/1/2023,Northeast,2,130,3250,27,C3
1021.0,11/1/2023,Midwest,3,220,4400,29,C5
1022.0,11/1/2023,South,4,180,2700,40,C1
1023.0,12/1/2023,Northeast,1,370,7400,38,C4
1024.0,12/1/2023,Midwest,2,160,4000,26,C3
1025.0,12/1/2023,South,5,90,2700,33,C1
1026.0,12/1/2023,Northeast,6,140,2100,40,C2
1027.0,1/1/2024,Midwest,1,110,2200,35,C1
1028.0,1/1/2024,South,3,140,2800,30,C5
1029.0,2/1/2024,Midwest,2,55,1375,25,C3
1030.0,2/1/2024,South,1,190,3800,35,C1
1031.0,3/1/2024,Northeast,4,95,1425,38,C4
1032.0,3/1/2024,Midwest,3,85,1700,28,C5
1033.0,4/1/2024,South,1,230,4600,36,C1
1034.0,4/1/2024,Northeast,2,65,1625,27,C3
1035.0,5/1/2024,Midwest,4,140,2100,42,C2
1036.0,5/1/2024,South,3,170,3400,32,C5
1037.0,6/1/2024,Northeast,1,280,5600,37,C4
1038.0,6/1/2024,Midwest,3,190,3800,29,C5
1039.0,7/1/2024,South,4,230,3450,40,C1
1040.0,7/1/2024,Northeast,1,330,6600,38,C4
1041.0,8/1/2024,Midwest,2,110,2750,26,C3
1042.0,8/1/2024,South,3,210,4200,31,C5
1043.0,9/1/2024,Northeast,4,170,2550,39,C2
1044.0,9/1/2024,Midwest,1,190,3800,35,C1
1045.0,10/1/2024,South,1,260,5200,36,C1
1046.0,10/1/2024,Northeast,2,140,3500,28,C3
1047.0,11/1/2024,Midwest,3,230,4600,30,C5
1048.0,11/1/2024,South,4,190,2850,41,C1
1049.0,12/1/2024,Northeast,1,380,7600,39,C4
1050.0,12/1/2024,Midwest,2,170,4250,27,C3
1051.0,12/1/2024,South,7,200,3000,35,C3
1052.0,12/1/2024,Northeast,8,70,2100,32,C5
1053.0,12/1/2024,Midwest,9,150,4500,38,C3
1054.0,1/1/2025,Midwest,1,120,2400,35,C1
1055.0,1/1/2025,South,3,150,3000,30,C5
1056.0,2/1/2025,Midwest,2,60,1500,25,C3
1057.0,2/1/2025,South,1,200,4000,35,C1
1058.0,3/1/2025,Northeast,4,100,1500,38,C4
1059.0,3/1/2025,Midwest,3,90,1800,28,C5
1060.0,4/1/2025,South,1,250,5000,36,C1
1061.0,4/1/2025,Northeast,2,70,1750,27,C3
1062.0,5/1/2025,Midwest,4,150,2250,42,C2
1063.0,5/1/2025,South,3,180,3600,32,C5
1064.0,6/1/2025,Northeast,1,300,6000,37,C4
1065.0,6/1/2025,Midwest,3,200,4000,29,C5
1066.0,7/1/2025,South,4,250,3750,40,C1
1067.0,7/1/2025,Northeast,1,350,7000,38,C4
1068.0,8/1/2025,Midwest,2,120,3000,26,C3
1069.0,8/1/2025,South,3,220,4400,31,C5
1070.0,9/1/2025,Northeast,4,180,2700,39,C2
1071.0,9/1/2025,Midwest,1,200,4000,35,C1
1072.0,10/1/2025,South,1,280,5600,36,C1
1073.0,10/1/2025,Northeast,2,150,3750,28,C3
1074.0,11/1/2025,Midwest,3,250,5000,30,C5
1075.0,11/1/2025,South,4,200,3000,41,C1
1076.0,12/1/2025,Northeast,1,400,8000,39,C4
1077.0,12/1/2025,Midwest,2,180,4500,27,C3
1078.0,12/1/2025,South,10,260,7800,37,C1
1079.0,12/1/2025,Northeast,12,190,5700,36,C1
1080.0,12/1/2025,Midwest,13,320,6400,35,C4
